time,open,high,low,close
1602460800,51.43,59,38.206,40.75
1603065600,40.82,42.658,32,37.895
1603670400,37.893,39.192,27.73,30.757
1604275200,30.703,54.9,25.939,53.931
1604880000,53.95,71.414,49.45,64.256
1605484800,64.251,82.48,60.903,68.811
1606089600,68.762,75.5,50,68.886
1606694400,68.954,94.875,68.936,87.838
1607299200,87.905,95,70.564,83.929
1607904000,83.933,96.329,79.584,85.629
1608508800,85.574,87.791,63.021,76.751
1609113600,76.762,95,75,93.778
1609718400,93.789,135.99,86.01,127.007
1610323200,126.9,203.498,94.02,186.323
1610928000,186.253,288.9,147.27,264.401
1611532800,264.526,323.703,238,299.601
1612137600,299.975,542.543,283.607,472.907
1612742400,473.125,581.667,460.28,468.525
1613347200,468.43,498,380,436.965
1613952000,436.986,448.611,284.627,354.155
1614556800,353.791,419.96,339.99,414.89
1615161600,415.033,459,359.674,380.669
1615766400,380.009,396.2,350.194,367.339
1616371200,367.597,373.72,296.225,347.721
1616976000,348.036,425.5,344.39,403.4
1617580800,403.499,415.129,340.207,372.026
1618185600,372.231,489,280.727,381.498
1618790400,381.3,415.134,308.12,348.53
1619395200,348.98,512,345.43,482.41
1620000000,482.41,535,432.15,459.51
1620604800,459.44,634.32,400,527.88
1621209600,527.84,668,208.09,293.31
1621814400,293.08,418,280.3,324.38
1622419200,324.38,409.38,304.36,365.48
1623024000,365.73,387.76,265.68,316.27
1623628800,316.3,336.49,242.07,272.67
1624233600,272.85,275.75,170.1,202.87
1624838400,202.93,289.9,200.62,277
1625443200,277,347.53,260.42,305.09
1626048000,305.1,321.95,245.01,253.68
1626652800,253.88,299.05,212.54,288.07
1627257600,287.89,339.59,283.29,316.38
1627862400,316.38,400.02,300.26,360.72
1628467200,360.82,428.28,347.36,410.27
1629072000,410.14,448.44,361.27,400.98
1629676800,400.98,415.49,340.9,364.1
1630281600,363.9,425.7,345.9,416.8
1630886400,416.9,425,304.3,333.3
1631491200,333.3,418,303.1,340
1632096000,340,341,252,293.3
1632700800,293.4,323.7,259.1,310.6
1633305600,310.5,324.9,284.4,287.9
1633910400,287.8,321.2,270.8,304.4
1634515200,304.5,338,289.7,307.8
1635120000,307.7,459,300.3,314.2
1635724800,314.3,347,301.9,319.9
1636329600,319.9,349.9,295.2,315.1
1636934400,315.3,317.3,255.2,266.4
1637539200,266.7,277.6,218.3,238.6
1638144000,238.6,268.8,159.2,191.6
1638748800,191.6,203.9,162.7,179.9
1639353600,179.7,202,157.6,183.3
1639958400,183.3,280.8,167.2,267.8
1640563200,268.1,296.8,230.8,265.3
1641168000,265.3,286.4,199.7,209.5
1641772800,209.5,245.5,186.7,242.5
1642377600,242.4,244.3,135,158.4
1642982400,158.5,164,131.1,148.9
1643587200,149,174.5,141.6,173.5
1644192000,173.6,192.7,155.8,158.1
1644796800,158.1,174.5,135.1,137.6
1645401600,137.5,144.8,112.4,131.6
1646006400,131.6,150.9,116.3,116.7
1646611200,116.7,130.5,113.3,115.7
1647216000,115.6,165.6,113.4,152.6
1647820800,152.7,174.4,146.8,169.2
1648425600,169.2,261.2,164.8,243
1649030400,243,243,175,176.3
1649635200,176.3,180.3,155.6,166.7
1650240000,166.7,198.8,157.4,166.4
1650844800,166.4,179,137.8,146.5
1651449600,146.5,162.2,125.1,125.9
