time,open,high,low,close
1600732800,0.85,7,0.85,5.3193
1600819200,5.3279,5.36,3.4,3.535
1600905600,3.5305,4.8873,3.4033,4.6411
1600992000,4.6366,5.0234,4.2001,4.7134
1601078400,4.7164,4.82,4.3294,4.52
1601164800,4.5214,4.7134,4.1068,4.6484
1601251200,4.6485,4.705,4.1667,4.2021
1601337600,4.1999,4.2899,3.9607,4.1394
1601424000,4.1429,4.411,3.9958,4.3293
1601510400,4.3293,4.53,4.014,4.15
1601596800,4.1422,4.2198,3.6332,3.9115
1601683200,3.9156,4.19,3.8696,4.0168
1601769600,4.0202,4.0798,3.8334,3.964
1601856000,3.9582,4.0456,3.87,3.9813
1601942400,3.9949,4,3.5,3.5424
1602028800,3.5401,3.5462,3.207,3.442
1602115200,3.4409,3.9599,3.3228,3.9147
1602201600,3.9147,4.3252,3.8034,4.2491
1602288000,4.2427,4.2693,4.0001,4.023
1602374400,4.0205,4.1762,3.9333,4.096
1602460800,4.0841,4.71,4.054,4.41
1602547200,4.4099,4.5636,4.3203,4.4806
1602633600,4.4808,4.4848,4.0125,4.1596
1602720000,4.15,4.2312,3.9985,4.1269
1602806400,4.1266,4.1582,3.8755,4.0433
1602892800,4.0462,4.21,3.9673,4.1946
1602979200,4.1874,4.2461,4.0701,4.1195
1603065600,4.1371,4.1748,3.9926,4.05
1603152000,4.0568,4.0908,3.6925,3.804
1603238400,3.8007,4.103,3.7918,3.9585
1603324800,3.9574,4.4904,3.9511,4.3385
1603411200,4.3406,4.4872,4.1354,4.2568
1603497600,4.2539,4.362,4.14,4.1821
1603584000,4.1803,4.2526,4.1,4.1479
1603670400,4.1409,4.4897,4.0141,4.148
1603756800,4.1454,4.35,4.0343,4.1217
1603843200,4.1214,4.1792,3.9308,4.0596
1603929600,4.0607,4.1051,3.7296,3.7758
1604016000,3.7744,3.8226,3.5781,3.7224
1604102400,3.7116,3.7612,3.5876,3.6456
1604188800,3.6355,3.7142,3.5521,3.6814
1604275200,3.6851,3.8775,3.6145,3.617
1604361600,3.6174,3.6513,3.2368,3.323
1604448000,3.3299,3.3759,3,3.1718
1604534400,3.1736,3.3841,3.0211,3.3348
1604620800,3.335,3.6666,3.3194,3.5913
1604707200,3.594,3.9193,3.37,3.4126
1604793600,3.4093,3.67,3.3613,3.4754
1604880000,3.4674,3.5399,3.2619,3.4125
1604966400,3.421,3.63,3.369,3.5713
1605052800,3.5775,3.82,3.46,3.4842
1605139200,3.4918,3.5691,3.32,3.4243
1605225600,3.4268,3.7018,3.3911,3.6745
1605312000,3.6779,3.7042,3.396,3.4894
