time,open,high,low,close
1417392000,300,378,300,378
1417996800,375.01,398,350,350
1418601600,345,345,340,340
1420416000,360,360,264.81,288.99
1421020800,260,260,109.87,184
1421625600,210,257.73,208,254.53
1422230400,262.78,322.72,210,228.99
1422835200,228.39,243.9,215,223.99
1423440000,224.01,267.86,215,235.54
1424044800,235.54,248.43,229.6,236.83
1424649600,236.83,262,232,260.24
1425254400,260.29,289.5,256.6,275.5
1425859200,275.47,299.48,275,288
1426464000,287.99,294.99,249.2,269.45
1427068800,269.25,273.99,234.51,243.69
1427673600,243.6,262,237.94,261.47
1428278400,261.49,263,232.35,237.55
1428883200,237.57,238,216.92,224.03
1429488000,224.03,238.6,215.56,221.27
1430092800,221.27,242.97,218.78,240.78
1430697600,240.88,247.6,228.38,241.57
1431302400,241.59,245.49,232.61,237.12
1431907200,237.1,242,231.53,240.82
1432512000,240.68,241.4,229.55,230.21
1433116800,230.18,230.99,221.58,223.89
1433721600,223.88,235,223.63,233.6
1434326400,233.61,259.46,233.6,244.66
1434931200,244.66,252.22,239.51,249.11
1435536000,249.11,275.25,249.09,271.74
1436140800,272.17,316.52,264.41,312.16
1436745600,312.19,312.91,272.64,275.61
1437350400,275.6,294.49,273.34,293.89
1437955200,293.88,298,277.26,282.62
1438560000,282.62,286.47,260.07,267.63
1439164800,267.6,272.4,255.67,259.2
1439769600,259.2,261.57,200,229.21
1440374400,229.23,236.18,198.02,229.39
1440979200,229.4,244.82,225.23,241.29
1441584000,241.26,247.82,229.72,230.82
1442188800,230.83,235.93,226.85,232.24
1442793600,232.26,237.62,224.45,233.58
1443398400,233.53,241.05,233.53,239.87
1444003200,239.87,250,237.5,249.02
1444608000,249.01,274.81,244.86,265
1445212800,265,295.93,262.05,284.97
1445817600,284.97,336.97,282.04,329.46
1446422400,329.45,499.99,326.07,373.83
1447027200,373.84,386.96,293.32,322.93
1447632000,322.94,340.72,311.23,323.71
1448236800,323.72,373.63,316.26,372.24
1448841600,372.25,401.01,347.55,387.57
1449446400,387.53,469.34,383,433.83
1450051200,433.38,465.6,429.12,442.22
1450656000,442.36,460,410,424.72
1451260800,424.73,437.56,418,431.91
1451865600,431.9,464.4,428.15,449.99
1452470400,449.99,452.65,350.92,378.46
1453075200,378.47,425.1,369,403.05
1453680000,403.04,403.04,363.25,367.95
1454284800,367.89,390.63,365.63,377.49
1454889600,377.47,406.92,361.1,406.59
1455494400,406.62,448.7,390.2,438.56
1456099200,438.56,440.9,410,433.73
1456704000,433.73,442,381.09,403.24
1457308800,403.24,421.3,395,412.52
1457913600,412.51,419.75,399.21,411.27
1458518400,411.25,426.5,406.89,425.3
1459123200,425.29,425.36,407.56,420.16
1459728000,420.08,424.65,415.51,423.4
1460332800,423.29,434.93,420.15,431
1460937600,431.08,465,428.44,464.46
1461542400,464.47,472.38,434.79,456.98
1462147200,456.98,465,440.02,462.79
1462752000,462.6,465.9,448.2,461.47
1463356800,461.48,461.59,435,442.48
1463961600,442.45,549.99,440.5,525.22
1464566400,525.22,594.64,519,575.17
1465171200,575.17,687.71,497.01,677.86
1465776000,677.45,785.15,650.02,768.76
1466380800,768.94,768.94,544.13,638.56
1466985600,638.56,705.25,630,663.55
1467590400,664.09,683.69,608,652.44
1468195200,652.43,680.99,640,680
1468800000,680,684.94,647.59,661
1469404800,660.92,664.13,621.37,626.97
1470009600,626.97,629.34,483,595.14
1470614400,595.14,601.09,565.19,574.99
1471219200,574.97,583.99,561.56,581.29
1471824000,581.34,586.99,568.95,575.41
1472428800,575.41,617.13,568.12,611.92
1473033600,611.94,631.3,591.8,607.94
1473638400,607.94,611.99,603,611.4
1474243200,611.4,612.46,592.63,601.67
1474848000,601.67,617.19,600.02,612.4
1475452800,612.42,620,606.93,617.42
1476057600,617.43,647.03,615.46,641.92
1476662400,642.1,658,625.6,651.04
1477267200,651.05,725.64,645.81,697.41
1477872000,697.39,746.16,672.06,717.02
1478476800,717.04,747.26,685.7,704.01
1479081600,704.01,753.81,673.85,731.99
1479686400,731.72,748.77,726,729.24
1480291200,729.24,780,728.2,767.99
1480896000,767.94,776.99,748.6,771.05
1481500800,771.05,791.97,770.88,790.72
1482105600,790.71,918.5,788.58,896.12
1482710400,895.94,1000,890,992.95
1483315200,992.96,1175,802.07,923.33
1483920000,922.04,923.98,734.64,833.31
1484524800,833.43,946.24,826.03,931.22
1485129600,929.45,930,880,916.54
1485734400,916.56,1044.12,914.69,1016.32
