time,open,high,low,close
1502928000,4261.48,4485.39,4200.74,4285.08
1503014400,4285.08,4371.52,3938.77,4108.37
1503100800,4108.37,4184.69,3850,4139.98
1503187200,4120.98,4211.08,4032.62,4086.29
1503273600,4069.13,4119.62,3911.79,4016
1503360000,4016,4104.82,3400,4040
1503446400,4040,4265.8,4013.89,4114.01
1503532800,4147,4371.68,4085.01,4316.01
1503619200,4316.01,4453.91,4247.48,4280.68
1503705600,4280.71,4367,4212.41,4337.44
1503792000,4332.51,4400,4285.54,4310.01
1503878400,4310.01,4399.82,4124.54,4386.69
1503964800,4353.65,4625.85,4313.55,4587.48
1504051200,4564.52,4647.51,4416.01,4555.14
1504137600,4555.14,4745.42,4555.14,4724.89
1504224000,4689.89,4885.55,4654.88,4834.91
1504310400,4796.16,4939.19,4286.87,4472.14
1504396800,4508.5,4714.76,4298.33,4509.08
1504483200,4505,4527.49,3972.51,4100.11
1504569600,4106.97,4484.99,3603,4366.47
1504656000,4366.49,4662.87,4335.26,4619.77
1504742400,4619.77,4788.59,4438.19,4691.61
1504828800,4691.66,4735.39,4028.93,4282.8
1504915200,4282.8,4426.62,4150.06,4258.81
1505001600,4258.81,4283,3801,4130.37
1505088000,4153.62,4334.43,4098.91,4208.47
1505174400,4208.6,4394.59,4040.8,4163.72
1505260800,4159.72,4165.38,3760,3944.69
1505347200,3944,3993,3165.13,3189.02
1505433600,3188.01,3856,2817,3700
1505520000,3674.01,3950,3470.66,3714.95
1505606400,3685.23,3748.21,3499.02,3699.99
1505692800,3690,4123.2,3690,4035.01
1505779200,4060,4089.97,3830.91,3910.04
1505865600,3910.04,4046.08,3820,3900
1505952000,3889.99,3910,3567,3609.99
1506038400,3592.84,3750,3505.55,3595.87
1506124800,3595.88,3817.19,3542.91,3780
1506211200,3779.54,3789.99,3622.76,3660.02
1506297600,3660.02,3979.87,3653.69,3920.75
1506384000,3928,3976.99,3850.05,3882.35
1506470400,3882.36,4249.94,3872.81,4193
1506556800,4192.11,4300,4101,4174.5
1506643200,4178.98,4263.86,3952.01,4174.69
1506729600,4175,4380,4138.1,4378.51
1506816000,4378.49,4406.52,4240.04,4378.48
1506902400,4400,4561.63,4360,4380
1506988800,4380,4467.33,4180.8,4310
1507075200,4314.9,4373,4142,4208.59
1507161600,4208.59,4355,4110,4292.43
1507248000,4318.99,4417,4292,4369
1507334400,4369,4479.5,4312.56,4423
1507420800,4425,4658,4425,4640
1507507200,4640,4889.98,4550,4786.95
1507593600,4786.95,4960,4680.59,4783.06
1507680000,4783.06,4881.61,4710,4821.43
1507766400,4821.43,5439.99,4810.16,5430
1507852800,5439.99,5846.17,5379.84,5649.98
1507939200,5650,5900,5580.01,5869.99
1508025600,5855.03,5922.3,5400.01,5709.99
1508112000,5710,5788.91,5585.19,5760.02
1508198400,5760,5774.98,5508.63,5595
1508284800,5595,5596,5037.95,5512.06
1508371200,5513,5710,5490.26,5683.9
1508457600,5683.31,6110,5600,6010.01
1508544000,6013.72,6171,5850.03,6024.97
1508630400,6003.27,6060,5720.03,5950.02
1508716800,5975,6080,5621.03,5915.93
1508803200,5909.47,5925,5450,5477.03
1508889600,5506.92,5704.96,5286.98,5689.99
1508976000,5670.1,5939.99,5650,5861.77
1509062400,5861.77,5980,5649.24,5768.83
1509148800,5768.79,5850.02,5630.03,5719.64
1509235200,5709.98,6189.88,5648.01,6169.98
1509321600,6133.01,6248.68,6030,6120.5
1509408000,6120.52,6498.01,6100,6463
1509494400,6463,6774.67,6338.02,6753.98
1509580800,6753.98,7300,6685.1,7019.98
1509667200,7010.31,7346.34,6923,7115.04
1509753600,7115.02,7480.99,6901,7357.09
1509840000,7357.27,7590.25,7279.02,7345.01
1509926400,7345.1,7401,6906,6960.12
1510012800,6981.72,7198.49,6901,7064.04
1510099200,7070,7770.02,6651,7303
1510185600,7303.01,7392,7015,7079.99
1510272000,7079,7279.91,6255.01,6506.98
