time,open,high,low,close
1463961600,13.91,13.91,10.25,12.34
1464566400,12.35,14.45,12,14.04
1465171200,14.02,15.91,13.76,15.58
1465776000,15.91,22,10,12.35
1466380800,12.35,15.89,10.8,14.02
1466985600,14,14.59,11.52,12.02
1467590400,11.94,11.99,9.31,11.02
1468195200,11,12.75,10.11,11.33
1468800000,11.27,15.39,11,12.78
1469404800,12.71,14.01,11.61,11.99
1470009600,11.98,12.12,6.68,10.99
1470614400,10.99,12.91,10.94,11.28
1471219200,11.28,11.52,10.65,11.21
1471824000,11.17,11.47,10.85,11.01
1472428800,11.01,12.5,10.8,11.77
1473033600,11.77,12.21,11.31,11.65
1473638400,11.64,12.99,11.64,12.64
1474243200,12.64,15.25,12.33,13.12
1474848000,13.14,13.58,12.83,13.28
1475452800,13.29,13.58,12.02,12.1
1476057600,12.1,12.24,11.62,11.95
1476662400,11.95,12.94,11.83,11.94
1477267200,11.93,11.99,9.52,11.19
1477872000,11.2,11.44,10.35,11.01
1478476800,11.01,11.06,9.65,10.14
1479081600,10.13,10.42,9.45,9.6
1479686400,9.58,10.21,8.66,8.98
1480291200,8.97,9,7.27,7.37
1480896000,7.39,8.95,5.81,8.23
1481500800,8.23,8.62,7.51,7.92
1482105600,7.92,7.97,7.01,7.19
1482710400,7.18,8.6,7.02,8.18
1483315200,8.2,11.8,8.05,10.5
1483920000,10.5,10.94,9.12,9.9
1484524800,9.91,11.07,9.56,10.77
1485129600,10.77,10.92,10.42,10.49
1485734400,10.5,11.45,10.37,11.26
1486339200,11.28,11.65,10.61,11.5
1486944000,11.5,14.7,11.21,12.9
1487548800,12.9,14.84,12.3,14.74
1488153600,14.74,21.49,14.37,19.4
1488758400,19.39,24.25,16.2,23.39
1489363200,23.38,57.67,23.38,43.21
1489968000,43.21,53.44,38.26,50.68
1490572800,50.74,53.97,46.98,48.74
1491177600,48.74,48.97,41.1,43.92
1491782400,43.93,74.98,42.72,48.13
1492387200,48.19,50.32,47.25,48.96
1492992000,48.95,82.9,48.94,80.87
1493596800,80.72,98.98,72.24,93.82
1494201600,93.83,94.74,75.89,89.39
1494806400,89.42,148.97,82.5,148.78
1495411200,148.86,217.85,115.67,175.48
1496016000,175.48,249.04,167,245.5
1496620800,245.48,358.46,241.2,343.01
1497225600,343.29,420,253,351.85
1497830400,351.84,365.79,13,278.49
1498435200,278.49,323.69,206.5,285
1499040000,285,285,231.25,238.81
1499644800,238.4,240.33,130.26,155.68
1500249600,155.69,249.4,153.25,228.31
1500854400,228.27,229.99,178.03,196.95
1501459200,196.95,273,190.78,263.96
1502064000,263.97,319.7,257.1,296.66
1502668800,296.67,309.41,267,297.79
1503273600,297.79,348.2,292,348.2
1503878400,348.2,396.88,333,353.06
1504483200,353.06,353.15,285,300.33
1505088000,300.34,316.19,202.25,259.66
1505692800,259.66,303.78,252.55,283.21
1506297600,283.21,312.75,278,303.25
1506902400,303.25,314.62,286.44,309.2
1507507200,309.2,347,285.88,336.89
1508112000,336.89,350,287.4,295.14
1508716800,295.14,311.7,275.46,303.38
1509321600,303.39,309.94,278.88,296.57
1509926400,296.58,329.47,287,307.1
1510531200,307.11,374.7,306.5,354.59
1511136000,354.24,488,350.5,473.99
1511740800,473.99,518.13,401.5,464.76
1512345600,465,535.1,415.01,447.51
1512950400,447.51,784.77,445.23,732.18
1513555200,732.17,875,460,697.04
1514160000,697.05,771,676.03,741.27
1514764800,741.24,1118.3,727.14,1118.3
1515369600,1118.3,1419.96,950,1365.46
1515974400,1365.46,1380.97,757,1047.13
1516579200,1047.13,1224,905,1215.01
1517184000,1215.01,1221.67,726.43,826
1517788800,826.01,908.76,555.66,811.35
1518393600,811.38,982.99,810.99,912.41
1518998400,913.4,958,786.59,841.96
1519603200,842.79,894,835.21,861.74
1520208000,861.74,866,641.6,719.8
1520812800,719.79,739,450,538
1521417600,538.01,589.75,507.84,522.55
1522022400,522.55,525,360,378.18
1522627200,378.69,421.59,363.33,399.9
1523232000,399.9,534.57,388,533.74
1523836800,534,643.47,498.29,620.07
1524441600,620.08,711,578.75,687.51
1525046400,688,828.97,627.2,784.33
1525651200,784.88,789.98,637.65,729.29
1526256000,729.29,746.06,656.5,714
1526860800,714,717,545.36,570.75
1527465600,570.75,627.83,507,618.63
1528070400,618.63,626.55,505,525.25
1528675200,525.25,538.99,450.11,496.5
1529280000,496.5,547.4,421.1,454.79
1529884800,454.79,473.27,404.22,451.43
1530489600,451.43,494.74,442.79,486.08
1531094400,486.09,488,418.23,449.41
1531699200,449.42,515.88,441,456.9
1532304000,456.9,484.43,445.66,466.01
1532908800,466.01,469,395,408.83
1533513600,408.96,413.17,305.14,318.15
1534118400,318.16,322.27,250.28,300.03
1534723200,300.03,304,259.11,274.25
1535328000,274.26,302.2,271.32,295.06
1535932800,295.06,296.38,185.39,195.91
1536537600,195.92,227.55,167,220.19
1537142400,220.19,255,192.2,244.35
1537747200,244.35,245.79,203.24,232.27
1538352000,232.27,234.92,214,224.82
1538956800,224.83,231.1,184.81,191.87
1539561600,192.05,220.64,189.96,202.12
1540166400,202.12,204.35,195.83,202.43
1540771200,202.44,217.77,190.92,210.06
1541376000,210.06,222.78,205.38,209.88
1541980800,209.72,211.22,165.2,175.87
1542585600,175.9,175.92,98.2,114.3
1543190400,114.29,126.46,99.26,114.76
1543795200,114.76,115.12,81.02,92.79
1544400000,92.8,94.62,80.6,83.74
1545004800,83.74,133,83.51,129.61
1545609600,129.61,159.51,112.26,138.78
1546214400,138.83,160.62,128.5,155.92
1546819200,155.91,157.15,113.5,115.58
1547424000,115.61,132.38,115.34,117.43
1548028800,117.44,119.5,110.3,111.35
1548633600,111.35,112.1,100.9,105.94
1549238400,105.98,125.28,100.15,123.94
1549843200,123.93,134.14,117,132.34
1550448000,132.33,165.62,131,131.76
1551052800,131.88,141.09,125.7,129.78
1551657600,129.79,140,122.75,134.66
1552262400,134.67,147.23,127.19,138.07
1552867200,138.08,141.3,132.21,135.37
1553472000,135.36,145.48,130.64,141.2
1554076800,141.23,180.1,138.81,174.84
1554681600,174.91,187.62,159.27,168.27
1555286400,168.32,177.84,156,169.9
1555891200,169.89,176.94,146,153.19
1556496000,153.17,169.26,148.81,161.25
1557100800,161.26,207,157.78,188.23
1557705600,188.23,281.77,185.62,261.09
1558310400,260.44,271.19,231.12,268.37
1558915200,268.23,288.77,235.44,269.23
1559520000,269.24,270.3,226.56,231.3
1560124800,231.36,278.83,227.52,268.33
1560729600,268.35,318,261,306.98
1561334400,306.85,364.49,273.5,290.07
1561939200,290.08,310.7,270.42,306.34
1562544000,306.33,318.6,222.7,225.76
1563148800,225.96,236.58,190.11,225.64
1563753600,225.7,228.28,197,211.5
1564358400,211.5,224.81,204,222.81
1564963200,222.87,239.45,200.38,216.06
1565568000,216.21,216.47,171,194.74
1566172800,194.74,203.91,180,186.59
1566777600,186.6,194.28,163.57,171.29
1567382400,171.31,184.73,164.99,181.56
1567987200,181.56,190.99,173.7,189.3
1568592000,189.31,224.71,188.23,211.1
1569196800,211.17,211.6,152.11,169.38
1569801600,169.39,185.89,165.2,170.18
1570406400,170.18,197.93,168.61,181.18
1571011200,181.12,188.58,168.34,175.49
1571616000,175.49,199.5,153,184.41
1572220800,184.32,193.41,177.39,181.73
1572825600,181.73,194.6,180.45,188.88
1573430400,188.89,190,177,183.88
1574035200,183.88,183.95,137.8,139.99
1574640000,140.1,157.73,131.8,150.97
1575244800,150.94,153,143.17,150.68
1575849600,150.69,151.47,139.1,142.38
1576454400,142.38,142.53,116.25,132.4
1577059200,132.4,137.85,122.15,134.3
1577664000,134.31,138.97,125.52,135.31
1578268800,135.31,148,134.78,146.6
1578873600,146.55,179.32,142.1,166.75
1579478400,166.67,171.05,154.48,167.35
1580083200,167.58,193.52,164.89,188.29
1580688000,188.22,230.9,184.29,228.8
1581292800,228.8,290,216.31,258.5
1581897600,258.58,287.13,242.36,275.48
1582502400,275.48,278.13,209.26,217.26
