time,open,high,low,close
1502928000,301.13,312.18,298,302
1503014400,302,311.79,283.94,293.96
1503100800,293.96,299.9,278,290.91
1503187200,290.91,300.53,282.85,299.1
1503273600,299.1,346.52,294.6,323.29
1503360000,323.29,330.41,144.21,309.8
1503446400,312.25,324.99,309.41,315.74
1503532800,315.74,328.04,314.01,323.42
1503619200,323.42,338.28,323.42,327.24
1503705600,327.24,335.44,323.41,330.79
1503792000,332.18,348.13,330.73,348.13
1503878400,348.11,351,331.95,346
1503964800,346,377.6,346,374.7
1504051200,374.7,393.71,362.05,385.93
1504137600,384.64,389.36,377.78,384.79
1504224000,384.79,394.39,383.18,388.46
1504310400,388.46,394.32,320.08,343.14
1504396800,343.14,367.28,320.08,341.77
1504483200,341.77,344.55,267.94,283.77
1504569600,286.81,321.52,235.55,312.09
1504656000,313.29,336.34,312.09,335
1504742400,335,342.5,320.17,334.49
1504828800,334.49,335.1,272,302.99
1504915200,302.99,307,281.66,296.74
1505001600,296.72,302.78,261.03,293.5
1505088000,293.5,304.98,285.21,297.3
1505174400,297.3,316.46,286.01,293.96
1505260800,293.96,294.5,257.05,276.91
1505347200,276.91,283.77,215,215.21
1505433600,217,270.93,192,253
1505520000,255.99,271.81,235.51,249.31
1505606400,249.31,264.39,239.02,257.55
1505692800,257.55,306.22,257.11,294.57
1505779200,294.57,300,277.41,284
1505865600,284.01,294,275.91,282
1505952000,282,287,252.1,257
1506038400,257,272.97,253.01,264
1506124800,264,286.23,255.11,285.93
1506211200,285.93,294.61,275,282
1506297600,282,299,281.34,294.42
1506384000,294.42,296.81,286.24,287.9
1506470400,289.91,313,286.13,309.74
1506556800,309.74,311.81,296.89,302.44
1506643200,302.44,303,274,292.22
1506729600,292.62,307.49,292.22,304.36
1506816000,304.36,306,294,303.95
1506902400,303.94,305,295,296.5
1506988800,298.15,301.99,283.18,292.48
1507075200,292.47,297.97,288,291.99
1507161600,290,297.44,285.53,294.81
1507248000,294.81,310.8,293.78,310.8
1507334400,309.9,318.5,303.6,311.01
1507420800,311.08,317.07,309,311.07
1507507200,311.13,312.13,286.65,297.19
1507593600,297.35,308.56,293,298.64
1507680000,298.64,305.5,298.02,304.01
1507766400,304.01,310,302.71,303.99
1507852800,303.99,353.96,297,337.96
1507939200,337.96,349.8,335,342
1508025600,342,348,316.17,337.96
1508112000,337.96,354,332.78,335.19
1508198400,335.18,336.58,312.65,315.19
1508284800,315.19,318,284.68,309.7
1508371200,309.7,315,300,308.66
1508457600,308.66,311.18,302,304.51
1508544000,304.51,305.34,290,298.94
1508630400,298.94,306.99,290,293.79
1508716800,293.79,294.6,272.2,281.09
1508803200,282.27,310,275.5,297.38
1508889600,297.38,300,281,294.49
1508976000,294.49,299.76,291.03,294.71
1509062400,294.71,298.1,292.03,296.33
1509148800,296.33,297,290.1,291.87
1509235200,291.87,309.4,291.86,305
1509321600,305,316,302.1,307.25
1509408000,307.25,309.99,304.01,304.9
1509494400,304.89,305.9,286.34,287.01
1509580800,287.3,293,274.73,283.12
1509667200,283.12,307,282,304.08
1509753600,304.09,304.99,292.11,298.04
1509840000,298.04,302.14,293.13,295.53
1509926400,295.53,305.58,290.11,297.97
1510012800,297.97,303.52,287,291.78
1510099200,291.78,320,290.02,303.02
1510185600,303.6,329,299.5,317.87
1510272000,318.5,322.65,285.82,293.5
1510358400,293.5,318,291.91,310.02
1510444800,310.87,316.99,281.01,305.24
1510531200,304,318.88,303.7,312.99
1510617600,312.99,337.54,312.94,335.61
1510704000,335.6,339,324,331.33
1510790400,331.33,334.75,321.41,331.49
1510876800,331.49,334.6,323.84,331.23
1510963200,331.23,349.9,326.01,346.66
1511049600,346.66,373.56,343.07,354.15
1511136000,355.15,372.5,353.9,367.42
1511222400,367.42,375.5,350.02,362.12
1511308800,362.12,384.84,359,380.65
1511395200,380.63,425,370.02,405
1511481600,405.03,475,392.8,469
1511568000,467.57,484.47,450,461.82
1511654400,461,465,436.14,462.84
1511740800,462.84,486.94,453,472.31
1511827200,472.32,477.5,453.5,466.17
1511913600,466.17,515,385,421.7
1512000000,421.92,460,387.01,427.43
1512086400,428.05,465.97,413.74,457.51
1512172800,457.53,471.91,445,457.63
1512259200,457.31,485.9,440.11,460.3
1512345600,460.3,470.98,445,466.66
1512432000,466.6,468.67,445.21,453.64
1512518400,452.88,455.1,400,411.04
1512604800,413,427.61,375.01,406.31
1512691200,406.31,456.78,390,442.54
1512777600,442.54,488,426.4,460
1512864000,460.02,460.05,403.2,429.91
1512950400,427.4,512,427.4,509.69
1513036800,509.69,639.27,494.89,619.4
1513123200,619.4,705.69,539.93,684.01
1513209600,684,747.6,630.5,679.87
1513296000,679.01,689,594.6,673.75
1513382400,674.95,712,669.22,680.33
1513468800,682.17,728,680.34,705.03
1513555200,706.35,798.88,638,784
1513641600,784,864.9,729.01,798
1513728000,798,828,661,790.21
1513814400,794.62,845.99,705.98,782.41
1513900800,784,796,504.99,635.97
1513987200,635.15,714.99,627.97,640.34
1514073600,640.33,667.64,563.49,658
1514160000,659.4,744,599.99,714.95
1514246400,713.12,750,712.56,750
1514332800,750,766.05,693.18,739.89
1514419200,739.89,744.93,645.88,707.89
1514505600,709.5,757.87,703,733.99
1514592000,732.9,735,635.82,681.06
1514678400,680.01,740,672.86,733.98
1514764800,733.01,763.55,716.8,754.99
1514851200,754.99,899.5,749.06,855.28
1514937600,855.13,950.01,810,934.03
1515024000,934.03,1009.72,890.01,940
1515110400,940,1045,930,959.3
1515196800,958,1017.56,950,1004.11
1515283200,1003.71,1125,999.9,1123.09
1515369600,1123.09,1239.18,910,1133.18
1515456000,1133.18,1326.5,1104.85,1291
1515542400,1291,1440,1201.1,1247
1515628800,1249.03,1332.49,1021,1138.93
1515715200,1136.45,1288.5,1069.01,1253.87
1515801600,1253.87,1427.01,1252,1388.02
1515888000,1388.1,1391.89,1220.89,1347
1515974400,1347.99,1383.13,1258.12,1271
1516060800,1268.67,1275.01,780,1000
1516147200,999.99,1075.51,755,1000
1516233600,1000,1075.2,924.21,994
1516320000,993.3,1079,941,1032.5
1516406400,1032.5,1165.4,1031,1152.75
1516492800,1150.37,1152.69,998,1049
1516579200,1049,1090.15,908,993
1516665600,993,1030,909,980
1516752000,981.2,1074,953.09,1061
1516838400,1060.34,1115,1030.26,1056.52
1516924800,1055.29,1082,986,1051.03
1517011200,1051.03,1127.99,1032.2,1118.99
1517097600,1118.99,1277,1112,1251.96
1517184000,1251.96,1258.89,1161.65,1177.01
1517270400,1177.01,1186.85,1051,1085.5
1517356800,1084.63,1135,1029,1124.81
1517443200,1125.96,1164.99,981,1041.94
1517529600,1041.89,1047.2,783.67,922.3
1517616000,923.67,998,851,971
1517702400,971,975,789,823.56
1517788800,821.6,862.47,634.94,697.92
1517875200,697.93,798,570.1,779.25
1517961600,779.99,849,714.18,754
1518048000,753.19,786.93,751,781.66
1518134400,781.66,882.2,781.66,876.27
1518220800,876.28,911.2,800,851.15
1518307200,851.15,857,768.28,808.99
1518393600,808.58,877.56,807.46,866.66
1518480000,866.39,871,820,841.57
1518566400,841.57,924.99,841.3,919.09
1518652800,919.09,946.66,895.59,924.55
1518739200,924.55,948.48,901.36,938.67
1518825600,938.6,974,933.48,969.99
1518912000,969.99,978.5,897,911
1518998400,911,956.22,906.04,938.11
1519084800,939.17,961,873,882.99
1519171200,882.99,908.88,812.87,835.89
1519257600,836.35,871.96,786.6,801.49
1519344000,801.47,885,785.99,851.6
1519430400,851.59,875,805,833.94
1519516800,833.92,849.5,813.18,841.19
1519603200,841.46,882,833,867.98
1519689600,867.98,897.49,860.69,870.11
1519776000,871.84,891,850.3,853.5
1519862400,853.5,879.96,848.65,870.63
1519948800,870.63,876.22,850,856.28
1520035200,856.27,870.78,852.3,856.02
1520121600,856.51,868,836.24,866.66
1520208000,866.61,871.75,847.2,849.84
1520294400,849.81,853.18,803.01,813.11
1520380800,813.31,826.2,718.4,749.9
1520467200,749.02,772.07,684,695.46
1520553600,695.48,727.92,640,723.71
1520640000,723.65,745,673.06,680.58
1520726400,680.58,735,659.15,720.85
1520812800,721,740.5,676.31,697.11
1520899200,696.52,713.76,680,689.94
1520985600,690.16,703.54,585,610.1
1521072000,610.1,621.12,570,608.83
