time,open,high,low,close
1547596800,0.5355,0.5355,0.4668,0.4895
1547683200,0.4895,0.4953,0.4639,0.4756
1547769600,0.4762,0.5112,0.4601,0.4894
1547856000,0.4908,0.5,0.4673,0.4831
1547942400,0.4831,0.492,0.459,0.4834
1548028800,0.4834,0.5198,0.465,0.4972
1548115200,0.4972,0.5656,0.4956,0.5344
1548201600,0.5342,0.5475,0.4901,0.5046
1548288000,0.5046,0.5065,0.4518,0.5017
1548374400,0.5017,0.5157,0.4712,0.4739
1548460800,0.4736,0.4884,0.4624,0.4661
1548547200,0.4661,0.4666,0.4229,0.4303
1548633600,0.4303,0.4313,0.3504,0.4116
1548720000,0.4104,0.4638,0.4061,0.4505
1548806400,0.4505,0.4514,0.413,0.4249
1548892800,0.425,0.441,0.3811,0.3832
1548979200,0.3832,0.43,0.38,0.4147
1549065600,0.4163,0.433,0.3985,0.4136
1549152000,0.4136,0.417,0.386,0.3963
1549238400,0.3963,0.4125,0.3867,0.3943
1549324800,0.3943,0.4327,0.3902,0.4224
1549411200,0.4224,0.4236,0.3915,0.4
1549497600,0.4,0.4065,0.3913,0.4021
1549584000,0.4021,0.45,0.3985,0.4383
1549670400,0.4383,0.4844,0.431,0.4612
1549756800,0.4648,0.48,0.4325,0.4499
1549843200,0.4495,0.4515,0.42,0.4289
1549929600,0.4289,0.4374,0.4176,0.4277
1550016000,0.4277,0.4454,0.4183,0.4411
1550102400,0.4422,0.4442,0.4203,0.4259
1550188800,0.4259,0.45,0.4222,0.4342
1550275200,0.4342,0.4464,0.4251,0.4398
1550361600,0.4398,0.4797,0.4317,0.4604
1550448000,0.4604,0.4823,0.4534,0.471
1550534400,0.471,0.4789,0.452,0.4598
1550620800,0.4548,0.4748,0.4432,0.4618
1550707200,0.4618,0.475,0.438,0.4438
1550793600,0.4438,0.465,0.44,0.4479
1550880000,0.4479,0.464,0.4437,0.4585
1550966400,0.4585,0.4644,0.3975,0.405
1551052800,0.4047,0.4749,0.4007,0.4723
1551139200,0.4722,0.474,0.43,0.4341
1551225600,0.4335,0.4412,0.4145,0.4274
1551312000,0.4274,0.45,0.4166,0.4244
1551398400,0.4244,0.4386,0.4203,0.4285
1551484800,0.4285,0.4372,0.4173,0.4221
1551571200,0.4221,0.4292,0.4177,0.4205
1551657600,0.4205,0.4255,0.3929,0.4036
1551744000,0.4029,0.4343,0.4023,0.4291
1551830400,0.4291,0.4385,0.4186,0.4296
1551916800,0.4296,0.4766,0.4256,0.4521
1552003200,0.4521,0.5107,0.4519,0.4611
1552089600,0.4611,0.4824,0.4524,0.4746
1552176000,0.4742,0.546,0.4681,0.4981
1552262400,0.4982,0.5181,0.4382,0.4629
1552348800,0.4629,0.5079,0.4503,0.4876
1552435200,0.4872,0.488,0.4671,0.4805
1552521600,0.4814,0.4994,0.4722,0.4871
1552608000,0.4871,0.496,0.4831,0.4858
1552694400,0.4866,0.496,0.4681,0.4819
1552780800,0.4819,0.4887,0.4702,0.4785
1552867200,0.4785,0.4833,0.467,0.4757
1552953600,0.4757,0.48,0.4648,0.477
1553040000,0.477,0.4899,0.4737,0.4807
1553126400,0.4807,0.4842,0.4342,0.4548
1553212800,0.4551,0.4655,0.447,0.4646
1553299200,0.4646,0.4646,0.4545,0.4608
1553385600,0.4606,0.4621,0.4485,0.4531
1553472000,0.4531,0.4949,0.441,0.4734
1553558400,0.4734,0.485,0.448,0.4605
1553644800,0.4603,0.4997,0.4556,0.4946
1553731200,0.4967,0.5196,0.4846,0.4992
1553817600,0.4992,0.5042,0.4887,0.5008
1553904000,0.5008,0.5034,0.4858,0.494
1553990400,0.494,0.541,0.4868,0.5084
1554076800,0.5084,0.563,0.5007,0.554
1554163200,0.5533,0.6,0.5326,0.5811
1554249600,0.5811,0.6073,0.517,0.562
1554336000,0.5588,0.5839,0.5195,0.5396
1554422400,0.5409,0.5799,0.539,0.5729
1554508800,0.5735,0.59,0.5557,0.5691
1554595200,0.5677,0.5918,0.5655,0.5773
1554681600,0.5776,0.5912,0.537,0.5634
1554768000,0.5617,0.5637,0.517,0.53
1554854400,0.53,0.5452,0.51,0.5197
1554940800,0.5198,0.521,0.453,0.4821
1555027200,0.4821,0.5134,0.4531,0.492
1555113600,0.492,0.5399,0.4913,0.5358
1555200000,0.5366,0.5449,0.5073,0.5225
1555286400,0.5259,0.5268,0.48,0.4883
1555372800,0.4884,0.5176,0.4883,0.4985
1555459200,0.4998,0.5046,0.488,0.4998
1555545600,0.4998,0.5226,0.4974,0.5193
1555632000,0.5193,0.539,0.5083,0.5095
1555718400,0.5095,0.5287,0.505,0.5118
1555804800,0.5118,0.5139,0.4752,0.4963
1555891200,0.4963,0.517,0.4837,0.4957
1555977600,0.4957,0.504,0.4756,0.4756
1556064000,0.4756,0.48,0.44,0.475
1556150400,0.4745,0.4997,0.435,0.4503
1556236800,0.4499,0.4699,0.4264,0.4416
1556323200,0.4437,0.4698,0.4357,0.443
1556409600,0.443,0.46,0.4403,0.451
1556496000,0.451,0.4546,0.424,0.4338
1556582400,0.4334,0.4771,0.432,0.4727
1556668800,0.4727,0.4876,0.4638,0.473
1556755200,0.473,0.4757,0.46,0.463
1556841600,0.4643,0.5223,0.4607,0.511
1556928000,0.511,0.5151,0.4783,0.4964
1557014400,0.4964,0.5238,0.4902,0.5058
1557100800,0.5058,0.5882,0.4901,0.5745
1557187200,0.5798,0.6186,0.5409,0.5435
1557273600,0.5433,0.6157,0.5212,0.594
1557360000,0.594,0.704,0.5873,0.6403
1557446400,0.6402,0.7233,0.6374,0.6703
1557532800,0.6703,0.7484,0.6517,0.6752
1557619200,0.679,0.6999,0.6285,0.6586
1557705600,0.6607,0.6872,0.6336,0.6474
1557792000,0.6474,0.9565,0.6332,0.828
1557878400,0.828,0.889,0.7772,0.8427
1557964800,0.8427,0.9389,0.7551,0.928
1558051200,0.9264,0.9869,0.81,0.8911
1558137600,0.895,0.9592,0.8457,0.9359
1558224000,0.936,1.05,0.9279,0.9934
1558310400,0.9927,1.143,0.946,1.117
1558396800,1.1146,1.25,1.06,1.1798
1558483200,1.1798,1.474,1.1301,1.2205
1558569600,1.2205,1.3655,1.1418,1.3392
1558656000,1.3393,1.4347,1.2216,1.3314
1558742400,1.3314,1.3376,1.0961,1.113
1558828800,1.113,1.1824,1.034,1.0828
1558915200,1.0802,1.275,1.0802,1.2119
1559001600,1.2173,1.35,1.1441,1.2788
1559088000,1.2787,1.2844,1.1426,1.1725
1559174400,1.1722,1.2257,0.9009,1.0023
1559260800,1.0018,1.0444,0.933,1.0189
1559347200,1.0236,1.0598,0.9511,0.956
1559433600,0.9536,1.0554,0.9323,1.0155
1559520000,1.0155,1.02,0.8853,0.9
1559606400,0.8985,0.9299,0.8368,0.885
1559692800,0.885,1.0991,0.8838,1.096
1559779200,1.0959,1.27,1.0556,1.1098
1559865600,1.1099,1.2589,1.071,1.1753
1559952000,1.1747,1.1991,1.1165,1.1326
1560038400,1.1376,1.1486,1.0085,1.0595
1560124800,1.0595,1.2104,1.0301,1.206
1560211200,1.2043,1.207,1.0876,1.1243
1560297600,1.1241,1.1643,1.0875,1.1448
1560384000,1.1448,1.97,1.1126,1.868
1560470400,1.868,1.8936,1.49,1.6395
1560556800,1.6364,1.8065,1.6022,1.7179
1560643200,1.718,1.7924,1.6,1.6621
1560729600,1.6651,2.0776,1.6525,1.9631
1560816000,1.9615,2.0185,1.76,1.8194
1560902400,1.8158,1.9016,1.7869,1.8353
1560988800,1.8352,1.8865,1.6859,1.7656
1561075200,1.7671,1.79,1.61,1.6883
1561161600,1.6895,1.947,1.6827,1.8428
1561248000,1.8429,1.91,1.7702,1.8169
1561334400,1.8169,1.8884,1.79,1.8689
1561420800,1.8689,2.4273,1.8613,2.1928
1561507200,2.1931,2.5,2.0231,2.28
1561593600,2.2821,2.555,2.1123,2.2879
1561680000,2.2912,3.0981,2.215,3.0392
1561766400,3.0391,4.5826,2.9499,3.7125
1561852800,3.7051,4.22,3.23,3.3885
1561939200,3.3885,3.862,2.9266,3.6369
1562025600,3.6476,3.9914,3.201,3.7453
1562112000,3.7441,3.8857,3.4769,3.49
1562198400,3.4854,3.61,3.204,3.453
1562284800,3.4555,3.75,3.441,3.64
1562371200,3.64,3.6611,3.4384,3.4603
1562457600,3.465,3.5038,3.25,3.275
1562544000,3.275,3.5731,3.25,3.3362
1562630400,3.3334,3.3741,2.9401,3.067
1562716800,3.067,3.2568,2.8578,3.1166
1562803200,3.1166,3.1555,2.71,2.7853
1562889600,2.787,3.3282,2.6,3.166
1562976000,3.166,3.2953,3.04,3.1652
1563062400,3.1689,3.2413,2.7611,2.7856
1563148800,2.7792,2.8498,2.5801,2.6913
1563235200,2.6911,2.7749,2.1521,2.1948
1563321600,2.1947,2.6,2.0531,2.398
1563408000,2.3951,2.8094,2.3542,2.67
1563494400,2.67,2.749,2.491,2.6046
1563580800,2.602,2.7314,2.5751,2.637
1563667200,2.6369,2.665,2.46,2.5319
1563753600,2.5319,2.5857,2.3732,2.4078
1563840000,2.4073,2.52,2.2489,2.3535
1563926400,2.3559,2.5131,2.27,2.3999
1564012800,2.3971,2.5149,2.3595,2.3615
1564099200,2.3615,2.43,2.3201,2.3989
1564185600,2.3954,2.46,2.1525,2.2453
1564272000,2.2372,2.2733,2.1,2.2156
