time,open,high,low,close
1348147800,70.07001,70.39999,69.87,70.33
1348234200,70.47,70.53999,70.08,70.14999
1348493400,69.56,69.86,69.42,69.735
1348579800,69.92,70.08,68.73,68.75999
1348666200,68.67,68.71001,67.85001,68.2
1348752600,68.35001,69.3,68.25,69.14
1348839000,68.92,69.12,68.50999,68.57001
1349098200,68.89999,69.33,68.25,68.47
1349184600,68.78999,68.98,68.13,68.67
1349271000,68.88,69.24001,68.59,69.11
1349357400,69.24001,69.53999,69,69.35001
1349443800,69.67999,69.8,68.8,68.98
1349703000,68.58,68.72,68.19,68.35001
1349789400,68.17,68.33949,67.10001,67.2592
1349875800,67.25,67.42999,66.8,66.92
1349962200,67.44,67.47,66.67,66.71001
1350048600,66.73,67.06,66.55,66.67999
1350307800,66.94,67.25999,66.53,67.17
1350394200,67.28999,68.2,67.25,68.12
1350480600,67.75,68.3,67.67999,68.08
1350567000,67.87,68.08,67.03999,67.28999
1350653400,67.21001,67.27,65.60001,65.67999
1350912600,65.62,66.19,65.5,66.02
1350999000,65.49001,65.95,65.19,65.39
1351085400,65.75999,65.87,65.06,65.164
1351171800,65.61,65.72,64.97,65.16
1351258200,65.17999,65.623,64.64999,65.35001
1351690200,65.31,65.39,64.73,64.95
1351776600,65.32001,66,65.17,65.87289
1351863000,66.21001,66.21001,65.11,65.17
1352125800,65.19501,65.73,65.03999,65.60001
1352212200,65.71001,66.17,65.46001,65.72
1352298600,65.03999,65.10001,63.89999,64.17
1352385000,64.33,64.495,63.16,63.16
1352471400,63.19,64.11,63.16,63.42999
1352730600,63.78999,63.87,63.25,63.42
1352817000,62.92,63.58,62.78011,62.98
1352903400,63.27,63.36,62.14,62.24001
1352989800,62.28999,62.49001,61.8,62.02991
1353076200,62.08,62.48,61.31,62.3
1353335400,62.97,63.83,62.96001,63.78059
1353421800,63.77,63.89,63.19,63.8
1353508200,63.83,64.02,63.60001,63.92999
1353681000,64.32001,64.92,64.25011,64.89999
1353940200,64.77,65.22,64.53999,65.181
1354026600,65.16,65.39999,64.85001,64.96001
1354113000,64.66,65.57001,64.25,65.52
1354199400,65.82001,66.13499,65.58,65.91
1354285800,65.92,65.97,65.61,65.8
1354545000,66.32001,66.37,65.64,65.67
1354631400,65.69,65.77,65.2,65.63
1354717800,65.53,65.53999,64.55,64.9032
1354804200,64.71001,65.4801,64.53,65.32001
1354890600,65.64999,65.71001,64.71001,64.92999
1355149800,64.75,65.455,64.75,65.12
1355236200,65.58,66.34,65.515,65.97
1355322600,66.28999,66.32001,65.64999,65.83
1355409000,65.71001,66.16,65.03,65.3111
1355495400,64.89999,65.08,64.47,64.69
1355754600,64.73,65.57001,64.66,65.55
1355841000,65.85001,66.64999,65.7,66.5472
1355927400,66.72,66.75999,66.22,66.2605
1356013800,66.38,66.41,65.92999,66.25999
1356100200,64.89,65.28,64.60001,65.2
1356359400,65.06,65.14,64.92,65.07001
1356532200,65.08,65.17999,64.28999,64.5
1356618600,64.56,64.64,63.60001,64.39999
1356705000,63.92999,64.42999,63.75,63.78
1356964200,63.67999,65.25211,63.58,65.1301
1357137000,66.69,67.23,66.48,67.2
1357223400,67.2,67.34,66.64999,66.8521
1357309800,66.87,66.88,66.47,66.63
1357569000,66.46001,66.75999,66.25,66.65041
1357655400,66.64,66.815,66.17,66.52
1357741800,66.62,66.95,66.55,66.77
1357828200,67.21001,67.27,66.55,67.17
1357914600,67.14,67.28999,67,67.25999
1358173800,66.89999,67.14999,66.67,66.96001
1358260200,66.63,66.729,66.33211,66.63
1358346600,66.75,67.13,66.60001,66.89999
1358433000,67.17999,67.48,67.06,67.22
1358519400,67.00999,67.14,66.77,67.07001
1358865000,67.14999,67.23,66.73,67.17999
1358951400,67.56,67.78999,67.46001,67.59
1359037800,66.69,67.28,66.56,66.66
1359124200,66.89,67.19,66.74001,67
1359383400,67.00999,67.38,66.92999,67.14999
1359469800,67.06,67.31,66.63,67.16
1359556200,67.28,67.48,66.87,67.02
1359642600,66.99001,67.35001,66.81,66.87
1359729000,67.34,67.78,67.07001,67.66
1359988200,67.25,67.4599,66.46001,66.48
1360074600,66.75999,67.67,66.61,67.46001
1360161000,67.22,67.55,67.03999,67.24001
1360247400,67.33,67.371,66.56,67.3
1360333800,67.64,68.13,67.63,67.99001
1360593000,68.02,68.06,67.78,68.00999
1360679400,67.92,68.05,67.66,67.73
1360765800,67.92999,68.23,67.765,67.97
1360852200,67.64,68.05,67.62,67.95
1360938600,67.95,68.11,67.56,67.75
1361284200,67.89,68.25999,67.86,68.24001
1361370600,68.24001,68.25,67.17999,67.19
1361457000,66.96001,67.00999,66.23,66.47
1361543400,66.84,67.14999,66.59,67.13901
1361802600,67.60001,67.81,66.25,66.31
1361889000,66.42,66.67999,65.96001,66.56
1361975400,66.57001,67.64999,66.47,67.239
1362061800,67.24001,67.74001,67.09,67.10001
1362148200,66.86,67.5,66.53999,67.38
1362407400,67.19,67.69,67.07001,67.67999
1362493800,68.10001,68.77,68.08,68.67999
1362580200,68.88989,68.908,68.42,68.50999
1362666600,68.57001,68.8,68.45,68.69
1362753000,68.92999,69.02,68.5,68.77
1363008600,68.67999,68.99001,68.47,68.97
1363095000,68.78999,68.9299,68.39,68.72
1363181400,68.8,68.89,68.39,68.63
1363267800,68.87,69.00999,68.711,68.86
1363354200,68.75,68.78999,68.34,68.50999
1363613400,67.88499,68.6367,67.73,68.36
1363699800,68.53999,68.7,67.62,68.23
1363786200,68.74001,68.86,68.39,68.709
1363872600,68.09,68.25,67.77,67.92999
1363959000,68.21001,68.64,68.13,68.59
1364218200,68.81,68.96001,68.00999,68.34
1364304600,68.60001,68.73,68.45,68.71001
1364391000,68.25,68.85001,68.14,68.80099
1364477400,68.81,69.06,68.64,68.97
1364823000,69.00999,69.09,68.31,68.5
1364909400,68.81,69.27,68.77,69.03999
1364995800,69.08,69.17999,68.24001,68.41
1365082200,68.41,68.60001,68.06,68.42999
1365168600,67.35001,67.96001,67.19,67.86099
1365427800,67.88,68.24001,67.69,68.22
1365514200,68.42,68.96001,68.09,68.67999
1365600600,68.89,70.17,68.88,70.015
1365687000,69.84,70.14999,69.77,69.99001
1365773400,69.85001,69.99001,69.41,69.94
1366032600,69.67999,69.78999,68.48,68.56
1366119000,68.99001,69.55,68.81,69.47
1366205400,68.84,68.88901,67.71001,68.11501
1366291800,68.33,68.33,66.88,67.16901
1366378200,67.31,68.231,67.2,68.09
1366637400,68.33,69.03999,68.08,68.78999
1366723800,69.2,69.7,68.82001,69.45
1366810200,69.25999,69.67,69.12,69.42
1366896600,69.63,70.05,69.59,69.78999
1366983000,69.62,69.77,69.27,69.57001
1367242200,69.78,70.48,69.75999,70.21001
1367328600,70.28999,70.73,70.03999,70.72
1367415000,70.71001,70.85001,70.25,70.39
1367501400,70.50999,71.42999,70.45,71.28
1367587800,71.94,72.34,71.91,72.12
1367847000,72.25,72.50999,72.19,72.39999
1367933400,72.5,72.57001,72.09,72.36
1368019800,72.31,72.77,72.2,72.71001
1368106200,72.55,73.099,72.47,72.60651
1368192600,72.73,73.08,72.63,73.05
1368451800,72.92999,73.32001,72.86,73.14
1368538200,73.13,73.74001,73.13,73.52
1368624600,73.38,73.74001,73.2,73.67
1368711000,73.77,74.095,73.55,73.59
1368797400,73.95,74.33,73.7301,74.3
1369056600,74.09,74.425,73.89,74.19
1369143000,74.17999,74.53999,73.89,74.27
1369229400,74.36,74.95,73.24001,73.619
1369315800,72.95,73.7,72.83,73.45
1369402200,72.96001,73.42999,72.75999,73.41
1369747800,74.25,74.53999,73.66,73.89
1369834200,73.59,73.8,73.12,73.53999
1369920600,73.57001,74.27499,73.55,73.92999
1370007000,73.64999,74.21001,73.17,73.25
1370266200,73.31,73.39999,72.42999,73.38
1370352600,73.52,73.82001,72.7,73
1370439000,72.77,73.03999,71.99001,72.05
1370525400,72.14999,72.41,71.47,72.39999
1370611800,72.73,73.47,72.52,73.39
1370871000,73.55,73.75999,73.25999,73.42
1370957400,72.67,73.34,72.44,72.69
1371043800,73.12,73.14,71.74001,71.85001
1371130200,71.75999,72.92,71.55,72.75999
1371216600,72.75999,72.84,72.17101,72.28
1371475800,72.88,73.39999,72.60001,72.98
1371562200,73.07001,73.72,73.06,73.58
1371648600,73.57001,73.67999,72.67999,72.75999
1371735000,71.92,72.16,70.78999,71.02499
1371821400,70.78,70.97,69.84,70.42999
1372080600,69.84,70.27,69.14999,69.73
1372167000,70.41,70.52,69.81,70.24001
1372253400,70.82001,71,70.59,70.87
1372339800,71.22,71.62,71.13,71.17
1372426200,70.92,71.69,70.78999,71.27
1372685400,71.75999,72.3,71.64,71.71001
1372771800,71.67999,72.1796,71.35001,71.74001
1372858200,71.48,72.37,71.42,72.03101
1373031000,72.45,72.61,71.86,72.58
1373290200,72.94,72.99001,72.38,72.64999
1373376600,72.98,73.25,72.64999,73.09
1373463000,73,73.62,72.98,73.50999
1373549400,74.28999,75.03,74.25,74.97
1373635800,75.02,75.35001,74.82001,75.3
1373895000,75.36,75.52,75.17,75.47
1373981400,75.53999,75.59,75.17999,75.37
1374067800,75.60001,75.74001,75.35001,75.56
1374154200,75.53999,75.74001,75.25,75.37
1374240600,74.72,74.74001,74.37,74.59
1374499800,74.87,74.98,74.58,74.81
1374586200,74.95,74.96001,74.2,74.25999
1374672600,74.99001,75.02,74.33,74.5
1374759000,74.89,75.06,74.46001,74.97
1374845400,74.67,75.38,74.55,75.37
1375104600,75.22,75.53999,75.02991,75.23
1375191000,75.5,75.95,75.35001,75.63
1375277400,75.77,76.2099,75.63,75.77
1375363800,76.3,76.64999,76.21001,76.53999
1375450200,76.56,76.99001,76.3801,76.97
1375709400,76.89,77.08,76.78,77.02
1375795800,76.92,76.99001,76.25,76.56
1375882200,76.36,76.56799,75.87,76.42
1375968600,76.84,76.98,76.3,76.8
1376055000,76.7,76.94,76.27,76.49001
1376314200,76.2,76.80991,76.19,76.67
1376400600,76.77,77.27,76.22,77.10001
1376487000,77.07001,77.17999,76.7,76.81
1376573400,75.98,75.99001,75.28999,75.50999
1376659800,75.53999,75.87,75.35001,75.485
1376919000,75.5,76.13,75.33,75.35001
1377005400,75.49001,76.03,75.42999,75.67999
1377091800,75.46001,76.09,75.14,75.42
1377178200,75.73,76.21001,75.71001,76.16
1377264600,76.73,76.77,76.39999,76.67
1377523800,76.72,77.28,76.55,76.71001
1377610200,75.82001,76.17999,74.96001,75.14
1377696600,75.08,75.75,75.05,75.42999
1377783000,75.39999,76.34,75.3,75.96001
1377869400,76.03999,76.03999,75.2,75.47
1378215000,76.10001,76.44,75.53999,75.89999
1378301400,76.14,76.84,75.92999,76.71001
1378387800,76.75,77.05499,76.73,76.84
1378474200,77.09,77.34,76.05,76.92999
1378733400,77.23,77.96001,77.23,77.83
1378819800,78.27,78.32001,77.92,78.21001
1378906200,77.69,78.11,77.59,78.06
1378992600,78.06,78.25,77.85001,78.00999
1379079000,78.11,78.145,77.64,78.06
1379338200,78.69,78.72,77.67,77.85001
1379424600,77.99001,78.47,77.98,78.37
1379511000,78.49001,79.47,78.33,79.31
1379597400,79.53999,79.685,79.36,79.5
1379683800,79.47,79.53999,78.95,78.985
1379943000,79.34,79.41,78.455,78.83
1380029400,79,79.25,78.57001,78.83
1380115800,78.88,79,78.39999,78.56
1380202200,78.87,79.36,78.85001,79.17
1380288600,78.74001,79.21001,78.59,79.07001
1380547800,78.27,79.09,78,78.88
1380634200,78.87,79.72,78.8456,79.67999
1380720600,79.13,79.75999,79.06,79.64999
1380807000,79.55,79.72,78.3,78.72
1380893400,78.72,79.50999,78.64999,79.39999
1381152600,78.72,79.35001,78.67,78.74001
1381239000,78.75999,78.81,77.19,77.22
1381325400,77.39999,77.44,76.35001,76.98
1381411800,77.8,78.78999,77.78999,78.61
1381498200,78.41,79.28999,78.39999,79.23
1381757400,78.74001,79.78999,78.67999,79.78999
1381843800,79.73,80.11,79.38,79.48
1381930200,79.83,80.42,79.78999,80.38
1382016600,80,80.87,79.95,80.84
1382103000,81.56,82.17999,81.35001,82.14999
1382362200,82.31,82.53999,82.07001,82.33
1382448600,82.62,82.89999,81.92999,82.45
1382535000,82.03999,82.2,81.55,81.95
1382621400,81.99001,82.48,81.88,82.31
1382707800,83.10001,83.28,82.5,82.89999
1382967000,82.9,83.05,82.55,82.92
1383053400,83.1601,83.26,82.7,83.06
1383139800,83.36,83.485,82.58,82.98
1383226200,82.77,83.3,82.48,82.79
1383312600,83.04,83.169,82.4,82.81
1383575400,83.05,83.07,82.64,82.93
1383661800,82.59,83.22,82.37,83.02
1383748200,83.35,83.4,82.73,83
1383834600,82.99,83.13,81.37,81.44
1383921000,81.73,82.56,81.51,82.54
1384180200,82.39,82.64,82.14,82.41
1384266600,82.16,82.66,82.1199,82.54
1384353000,82.01,83.55,82,83.54
1384439400,83.29,83.86,83.14,83.8
1384525800,83.83,83.96,83.61,83.96
1384785000,83.94,84.105,82.98,83.14
1384871400,83.09,83.49,82.76,82.9
1384957800,83.14,83.4301,82.455,82.7
1385044200,83.03,83.61,82.98,83.54
1385130600,83.69,84.02,83.62,83.99
1385389800,84.29,84.38,83.98,84.19
1385476200,84.22,84.84,84.025,84.63
1385562600,84.79,85.24,84.73,85.22
1385735400,85.54,85.84,85.4737,85.73
1385994600,85.83,85.96,85.35,85.48
1386081000,85.42,85.64,85.08,85.41
1386167400,85.06,85.77,84.78,85.49
1386253800,85.57,85.66,85.17,85.38
1386340200,86.105,86.18,85.59,86
1386599400,86.35,86.53,86.2,86.35
1386685800,86.19,86.45,86.12,86.29
1386772200,86.27,86.401,85.06,85.18
1386858600,85.24,85.4201,84.9,84.96
1386945000,85.36,85.4,84.709,84.85
1387204200,85.27,85.81,85.21,85.32
1387290600,85.32,85.53,84.99,85.15
1387377000,85.22,86.22,84.05,86.14
1387463400,85.99,86.01,85.52,85.9
1387549800,85.75,86.68,85.73,86.5
1387809000,87.19,87.41,86.95,87.41
1387895400,87.43,87.51,87.27,87.45
1388068200,87.6,87.81,87.44,87.74
1388154600,87.83,87.9,87.412,87.52
1388413800,87.4,87.51,87.14,87.39
1388500200,87.54,87.96,87.52,87.96
1388673000,87.55,87.58,87.02,87.27
1388759400,87.27,87.35,86.62,86.64
1389018600,86.65,86.76,86,86.32
1389105000,86.7,87.25,86.56,87.12
1389191400,87.11,87.55,86.945,87.31
