time,open,high,low,close
1597104000,2.85,3.5208,2.8433,3.2985
1597190400,3.2985,3.9289,3.08,3.7558
1597276800,3.75,4.1387,3.5003,3.73
1597363200,3.7207,3.7676,3.321,3.4099
1597449600,3.4181,3.74,3.15,3.173
1597536000,3.173,3.4907,3.12,3.3885
1597622400,3.3885,3.3952,3.1,3.11
1597708800,3.11,3.7092,2.8105,3.3407
1597795200,3.334,3.49,2.8,2.8868
1597881600,2.8962,3.445,2.8871,3.2038
1597968000,3.2038,3.24,2.89,2.9317
1598054400,2.9213,3.2,2.7431,3.0126
1598140800,3.0224,3.4,3.0014,3.25
1598227200,3.2658,3.62,3.21,3.3405
1598313600,3.3406,3.3654,3.0001,3.25
1598400000,3.2576,3.7999,3.1809,3.5684
1598486400,3.5557,3.8575,3.2434,3.4501
1598572800,3.4503,4.3091,3.4503,4.0063
1598659200,4.007,4.1121,3.7748,3.9535
1598745600,3.9531,4.7117,3.9,4.4309
1598832000,4.4127,4.8865,4.1,4.7435
1598918400,4.7432,4.9475,4.3,4.3397
1599004800,4.3213,4.3506,3.66,4.17
1599091200,4.17,4.459,3.4772,3.5051
1599177600,3.5062,3.8346,3.1739,3.5301
1599264000,3.5301,3.6637,2.0926,2.6052
1599350400,2.6119,3.18,2.2575,3.0941
1599436800,3.0785,3.1983,2.38,2.9237
1599523200,2.9237,2.9499,2.4,2.468
1599609600,2.468,3.8838,2.3821,3.6001
1599696000,3.6107,3.875,3.304,3.4761
1599782400,3.4707,3.5036,3.0316,3.3965
1599868800,3.3967,3.47,3.1494,3.3316
1599955200,3.3386,3.47,2.9838,3.2603
1600041600,3.2656,3.5393,3.0752,3.2641
1600128000,3.264,3.3249,2.8955,2.9295
1600214400,2.9288,2.9293,2.4282,2.5327
1600300800,2.5376,2.9389,2.36,2.8829
1600387200,2.883,3.16,2.726,3.1144
1600473600,3.1084,3.2545,2.9564,3.031
1600560000,3.0216,3.0319,2.7,2.8628
1600646400,2.8628,3.0397,2.4689,2.7672
1600732800,2.7571,3.0107,2.65,2.9082
1600819200,2.9184,3.09,2.7001,2.8548
1600905600,2.855,3.2571,2.7804,3.1433
1600992000,3.1409,3.2766,2.9003,3.1937
1601078400,3.185,3.25,3.03,3.1287
1601164800,3.1292,3.1857,2.9819,3.1578
1601251200,3.1557,3.2109,2.908,2.9599
1601337600,2.9549,3.027,2.8735,2.9505
1601424000,2.9447,2.9838,2.8228,2.8967
1601510400,2.8967,2.9889,2.65,2.8669
1601596800,2.8667,2.8873,2.42,2.6232
1601683200,2.6231,2.6708,2.5356,2.5439
1601769600,2.542,2.5898,2.42,2.5202
1601856000,2.5181,2.683,2.4561,2.6522
1601942400,2.6486,2.6604,2.13,2.174
1602028800,2.1721,2.4083,2.081,2.3005
1602115200,2.3001,2.4569,2.0123,2.3638
1602201600,2.3686,2.63,2.303,2.5314
1602288000,2.5274,2.6056,2.3873,2.3999
1602374400,2.3988,2.4607,2.3401,2.4227
1602460800,2.4228,2.7044,2.4132,2.5836
1602547200,2.5826,2.5867,2.336,2.4062
1602633600,2.4061,2.4424,2.2331,2.3107
1602720000,2.3108,2.3485,2.1932,2.2682
1602806400,2.2648,2.269,2.1071,2.1398
1602892800,2.1374,2.2462,2.1107,2.2053
1602979200,2.2031,2.2595,2.1763,2.215
1603065600,2.2137,2.2148,2.05,2.0592
1603152000,2.0552,2.108,1.8401,1.885
1603238400,1.8873,2.11,1.8415,1.8887
1603324800,1.8868,2.09,1.8481,1.9582
1603411200,1.9566,1.9902,1.85,1.959
1603497600,1.9652,1.973,1.88,1.9142
1603584000,1.9175,1.9244,1.76,1.7926
1603670400,1.7925,1.8685,1.6121,1.6799
1603756800,1.6771,1.75,1.5906,1.711
1603843200,1.7084,1.7255,1.4508,1.518
1603929600,1.5166,1.5754,1.4148,1.4327
1604016000,1.4328,1.4726,1.3163,1.4381
1604102400,1.4383,1.558,1.4266,1.5497
1604188800,1.5497,1.6463,1.5137,1.608
1604275200,1.6076,1.6432,1.4621,1.4738
1604361600,1.4729,1.484,1.4062,1.4118
1604448000,1.4123,1.4144,1.2733,1.3912
1604534400,1.3895,1.4928,1.3,1.4007
1604620800,1.403,1.9482,1.3946,1.9
1604707200,1.9069,2.4975,1.8276,2.0215
1604793600,2.0264,2.2825,1.9608,2.1558
1604880000,2.1515,2.1991,1.9456,2.0299
1604966400,2.0383,2.3257,2.008,2.2661
1605052800,2.2665,2.3,1.9673,2
1605139200,2,2.06,1.825,1.9089
1605225600,1.9089,2.0808,1.8997,2.0141
1605312000,2.0222,2.0374,1.869,1.9182
1605398400,1.9204,2.218,1.9133,2.0407
1605484800,2.039,2.37,1.9858,2.2626
1605571200,2.2665,2.33,2.125,2.1998
1605657600,2.1962,2.2173,2.0001,2.1153
1605744000,2.1122,2.1848,2.0136,2.085
1605830400,2.0841,2.2387,2.0521,2.1033
1605916800,2.0999,2.51,2.0351,2.3822
1606003200,2.3825,2.4201,2.04,2.1514
1606089600,2.161,2.3635,2.112,2.2786
