time,open,high,low,close
1683072000,0.09943846,4.08501379,0.09943846,1.40225494
1683158400,1.40399713,1.49931329,1.29788096,1.33034112
1683244800,1.33463994,1.38258052,1.26143151,1.30867946
1683331200,1.30903508,1.3793584,1.27401345,1.33515327
1683417600,1.33467679,1.35198911,1.22600779,1.24985598
1683504000,1.24812769,1.2508637,0.9953244,1.14218586
1683590400,1.13983157,1.21763312,1.10198248,1.18676246
1683676800,1.18510029,1.2430596,1.1042,1.18328167
1683763200,1.18065777,1.18314511,1.03547228,1.07433016
1683849600,1.0750175,1.12375754,1.01237371,1.11580973
1683936000,1.11564149,1.13982973,1.08660538,1.09984794
1684022400,1.09841665,1.20480813,1.06888635,1.1596381
1684108800,1.15776455,1.25447735,1.12463505,1.19407741
1684195200,1.19502534,1.20724423,1.1409689,1.1635184
1684281600,1.16645603,1.21596029,1.11221106,1.21123774
1684368000,1.21312318,1.22406278,1.12701859,1.14104162
1684454400,1.14125427,1.14965434,1.11608301,1.13095241
1684540800,1.13126398,1.13631649,1.11004431,1.12452126
1684627200,1.12516938,1.15380105,1.05387132,1.07280773
1684713600,1.07277084,1.07770285,1.03471583,1.05005826
1684800000,1.05062159,1.09838066,1.02429777,1.05401253
1684886400,1.05287737,1.05287737,0.94462788,0.98006079
1684972800,0.97980256,1.01073092,0.94011344,0.98252227
1685059200,0.98274301,1.00941635,0.96440381,0.9915343
1685145600,0.99219236,1.01740516,0.9836016,0.99893148
1685232000,0.99899532,1.07034022,0.99412407,1.06234244
1685318400,1.0631955,1.09956473,1.02376464,1.04014796
1685404800,1.04084738,1.06312617,0.99165294,1.00253622
1685491200,1.00133367,1.00942207,0.94433501,0.97418841
1685577600,0.97472839,0.97927424,0.94047326,0.94614327
1685664000,0.94582448,0.96278456,0.90358021,0.94183672
1685750400,0.94127268,0.95645435,0.90743197,0.93404024
1685836800,0.93322079,0.97805484,0.9276085,0.95991801
1685923200,0.96031023,0.97110272,0.74873011,0.81727627
1686009600,0.8180254,0.84919509,0.75694307,0.83078706
1686096000,0.83154182,0.83154182,0.74454029,0.75712973
1686182400,0.75690104,0.7939098,0.71521029,0.72879674
1686268800,0.72982994,0.76228802,0.7114778,0.73847986
1686355200,0.73904254,0.74155452,0.51092687,0.61028113
1686441600,0.60972417,0.62435043,0.58736781,0.60569923
1686528000,0.60597055,0.6881266,0.56977248,0.66309857
1686614400,0.66362681,0.72899603,0.66161929,0.69794529
1686700800,0.69769884,0.71312528,0.62886582,0.65115535
1686787200,0.65032906,0.65858376,0.61982636,0.64936278
1686873600,0.6487897,0.72092468,0.62475572,0.70712563
1686960000,0.70701289,0.78249599,0.70412437,0.75382401
1687046400,0.75313222,0.79544079,0.71366413,0.72072505
1687132800,0.7195344,0.79183195,0.71013695,0.78493172
1687219200,0.78385619,0.82819889,0.74860223,0.81894441
1687305600,0.81816191,0.84955075,0.76926374,0.83137676
1687392000,0.83142691,0.8896849,0.79115146,0.80356283
1687478400,0.80388515,0.83547577,0.78005677,0.79866308
1687564800,0.79837695,0.79837695,0.72559549,0.75271233
1687651200,0.75341281,0.78023938,0.74039602,0.74514089
1687737600,0.7449316,0.75936516,0.71228074,0.72658416
1687824000,0.7266888,0.757561,0.70358442,0.72053017
1687910400,0.7204749,0.7204749,0.63822112,0.66416928
1687996800,0.66377512,0.71435593,0.66057956,0.680625
1688083200,0.6805955,0.71151014,0.63125836,0.6881806
1688169600,0.69015119,0.69168399,0.66786214,0.68930377
1688256000,0.68987328,0.69416583,0.66232836,0.69035489
1688342400,0.68947772,0.71661234,0.68608989,0.69771675
1688428800,0.70013098,0.73841513,0.6823177,0.68539355
1688515200,0.68541314,0.69082231,0.64536633,0.66226295
1688601600,0.66108997,0.68333007,0.63534399,0.64902184
1688688000,0.64895412,0.66624579,0.64242612,0.66050376
1688774400,0.6615234,0.66894805,0.64243387,0.65270162
1688860800,0.65366807,0.66681642,0.65040194,0.65996552
1688947200,0.65841812,0.66544526,0.62891256,0.65544691
1689033600,0.65514714,0.66994923,0.64310996,0.65573799
1689120000,0.65656763,0.688115,0.64443974,0.65626648
1689206400,0.6559446,0.71671299,0.64953958,0.69921988
1689292800,0.69955582,0.76322186,0.65924403,0.68098842
1689379200,0.68111545,0.69869405,0.66815174,0.68250287
1689465600,0.68296809,0.69399868,0.66429988,0.67297929
1689552000,0.67262612,0.73208238,0.66588869,0.72037787
1689638400,0.72039459,0.78589533,0.70614306,0.73656485
1689724800,0.73622254,0.77646524,0.70297075,0.710923
1689811200,0.70976739,0.72784969,0.68136411,0.68767817
1689897600,0.68772893,0.69607132,0.67192086,0.68490136
1689984000,0.68401669,0.70491528,0.68271667,0.69193764
1690070400,0.69406526,0.70370409,0.67374328,0.6789618
1690156800,0.67809561,0.68011672,0.61100634,0.63719478
1690243200,0.63619441,0.65201211,0.62567349,0.63706421
1690329600,0.63732714,0.64323908,0.61641119,0.63556909
1690416000,0.63443502,0.65037767,0.62443932,0.62987066
1690502400,0.63093364,0.64259816,0.62567966,0.63025399
1690588800,0.6299199,0.64118356,0.62570959,0.63941734
1690675200,0.63850141,0.6399826,0.59911436,0.62049914
1690761600,0.62031222,0.63364244,0.6137842,0.63188591
1690848000,0.6308285,0.6466859,0.61143768,0.6466859
1690934400,0.64712869,0.6495665,0.6080823,0.61340346
1691020800,0.61308761,0.61952178,0.5851406,0.59305627
1691107200,0.59261148,0.60063778,0.58138835,0.59182684
1691193600,0.592624,0.59290006,0.58085107,0.59213703
1691280000,0.59081191,0.60873252,0.58983254,0.59187744
1691366400,0.5929154,0.59845894,0.56010395,0.58241511
1691452800,0.58238838,0.60295844,0.57489576,0.59429203
